time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-23T14:04:26.484Z,22.1431,144.8203,32.02,4.6,mb,,45,5.482,0.57,us,us7000fxa8,2022-01-29T22:56:06.040Z,"Volcano Islands, Japan region",earthquake,9.2,4.7,0.07,62,reviewed,us,us
2021-11-23T13:20:43.707Z,0.5668,122.879,287.38,4.5,mb,,47,1.601,0.6,us,us7000fwfp,2022-01-29T22:55:31.040Z,"20 km W of Gorontalo, Indonesia",earthquake,6.3,6.2,0.065,73,reviewed,us,us
2021-11-23T12:04:19.226Z,82.1308,-17.6567,10,5.4,mww,,25,5.774,0.4,us,us7000fwfa,2022-01-29T22:55:31.040Z,"near the north coast of Greenland",earthquake,3.4,1.8,0.086,13,reviewed,us,us
2021-11-23T11:54:13.943Z,-16.331,178.1296,10,4.8,mb,,112,1.407,0.39,us,us7000fwf9,2022-01-29T22:55:30.040Z,"132 km W of Labasa, Fiji",earthquake,8.3,1.8,0.042,181,reviewed,us,us
2021-11-23T09:48:42.439Z,38.8975,142.217,50.53,4.8,mb,,81,2.087,0.44,us,us7000fwem,2022-01-29T22:55:30.040Z,"47 km ESE of ?funato, Japan",earthquake,6.8,5.2,0.042,179,reviewed,us,us
2021-11-23T08:17:46.359Z,-24.2186,179.9069,515.91,4.5,mb,,101,5.385,0.96,us,us7000fwec,2022-01-29T22:55:29.040Z,"south of the Fiji Islands",earthquake,12.6,8.3,0.101,29,reviewed,us,us
2021-11-23T08:09:42.919Z,9.0375,126.4317,57.2,4.9,mb,,86,2.129,0.68,us,us7000fwed,2022-01-29T22:55:29.040Z,"19 km ENE of La Paz, Philippines",earthquake,9.1,4.9,0.052,115,reviewed,us,us
2021-11-23T07:07:27.666Z,7.3868,-78.5317,10,4.9,mb,,59,3.209,0.82,us,us7000fwe2,2022-01-29T22:55:29.040Z,"43 km WSW of Jaqué, Panama",earthquake,7.4,1.8,0.069,67,reviewed,us,us
2021-11-23T07:05:32.135Z,7.3892,-78.5131,10,4.9,mb,,59,3.193,0.71,us,us7000fwdv,2022-01-29T22:55:28.040Z,"41 km WSW of Jaqué, Panama",earthquake,6.9,1.8,0.043,167,reviewed,us,us
2021-11-23T05:56:32.752Z,12.9871,-90.2559,18,5.5,mww,,120,1.02,0.85,us,us7000fwde,2022-01-29T22:55:28.040Z,"81 km SW of Acajutla, El Salvador",earthquake,2.8,1.9,0.036,74,reviewed,us,us
2021-11-23T04:23:48.311Z,3.6149,126.9506,51.46,4.6,mb,,114,2.854,0.64,us,us7000fxa2,2022-01-29T22:56:05.040Z,"239 km NNW of Tobelo, Indonesia",earthquake,9.7,8.7,0.132,17,reviewed,us,us
2021-11-23T03:21:23.097Z,-9.8809,160.4813,10,4.5,mb,,80,0.685,0.51,us,us7000fxa1,2022-01-29T22:56:05.040Z,"76 km SE of Honiara, Solomon Islands",earthquake,4.3,1.9,0.132,17,reviewed,us,us
2021-11-23T01:03:24.298Z,28.696,-17.6878,10,4.6,mb,,112,1.129,0.68,us,us7000fxa4,2022-01-29T22:56:05.040Z,"6 km SE of Puntallana, Spain",earthquake,4.9,1.9,0.172,10,reviewed,us,us
2021-11-23T00:10:35.201Z,-30.9249,179.6405,434.83,4.5,mb,,71,2.686,0.69,us,us7000fwbg,2022-01-29T22:55:25.040Z,"Kermadec Islands region",earthquake,12.1,6.5,0.073,55,reviewed,us,us
